#,Creator,Type,City,Category,Places,Tips / Summary,Flag,Video URL
38,@ckkkiddo,🎥 Video,Da Nang,Shopping,,"lotte mart didn’t disappoint. best tiktok finds for cheap groceries, pasalubong, and shopping! 🛒✨ ONLY IN VIETNAM!",,https://www.tiktok.com/@ckkkiddo/video/7618103194337463570
39,@leannayna,🎥 Video,Ho Chi Minh,General,,strolling around ho chi minh <3,,https://www.tiktok.com/@leannayna/video/7618919001879563541
40,@mnf1182,🎥 Video,Ba Na Hills,Activity,,"Kalau dah sampai Ba Na Hills, tak try naik Alpine Coaster ni memang rugi, boleh beli ticket dekat Klook or kat kaunter je.. berbaloi, cuma time ni foggy & raining so view pun biasa² jelah😊",,https://www.tiktok.com/@mnf1182/video/7592975994118573330
41,@vowellesociety,📸 Slideshow,Ho Chi Minh,Food & Drink,,What NOT to do (from experience 😅👇)	•	street food without checking = 3 days crackers diet	•	renting a scooter = near death experience	•	trusting hype spots blindlyWhat you MUST do:	•	fruit tasting obsession 🍍	•	egg coffee (life-changing)	•	boutique shopping in District 1	•	Michelin dining without breaking the bank,,https://www.tiktok.com/@vowellesociety/photo/7622552597584514325
43,@vanishaoctaviana,🎥 Video,Ho Chi Minh,Transport,,First time trying fast track immigration in Ho Chi Minh City… and honestly it saved me so much time 😭✈️Aku beli lewat Klook dan pas sampai bandara langsung dilewatin jalur khusus. Nggak perlu ngantri panjang sama sekali. Super helpful kalau lagi kejar waktu atau lagi capek habis flight!Highly recommend kalau ke HCM dan nggak mau buang waktu di imigrasi ✨,,https://www.tiktok.com/@vanishaoctaviana/video/7615086286868827413
44,@maniezzz99,📸 Slideshow,Vietnam (General),Food & Drink,,Halal snack recommendations in Vietnam. Good reference for Muslim travelers.,,https://www.tiktok.com/@maniezzz99/photo/7619572229201759508
45,@lifeeewithpat,🎥 Video,Ho Chi Minh,Food & Drink,,"i already made a post about this place before but ITS SO GOOD i cannot gatekeep😚 this restaurant has won many awards and honestly dare i say it is the best pizza i’ve ever had in vietnam. if youre traveling to saigon and want some italian food i can’t recommend this place enough.but remember this is still just my humble opinion as a pizza connoisseur 😛margherí in phu my hung, district 7 | italian food in saigon | italian food in vietnam | pizza in vietnam | where to eat in saigon | pizza in saigon | an gi quan 7 | do an y o saigon",,https://www.tiktok.com/@lifeeewithpat/video/7592118327602842901
46,@notesfrommax,🎥 Video,Hoi An,Food & Drink,"Thanh Ha Pottery Village (Hoi An)The price is 35,000 VND to enter the village ($1.50 USD) and explore local shops, pottery classes, and museums. They even give away a few free ceramics at special shops 🏺If you’d like to make your own piece, there are two options:1️⃣ Same day ceramic pottery is 50,000 VND ($2 USD). Note that this is decorative and you cannot drink out of it.2️⃣ If you have more time we recommend the 1-week option to allow them to fire it in the kiln and you can make a coffee mug for your favorite Vietnamese coffee ☕️ this is what we did and the cost was 200k ($8 USD)^^ We found 📍 My Linh shop to offer the kiln option. She was super sweet and helped us shape our cups too!👉 Got questions?? Leave them below!! 💬","📌 SAVE this for your next trip to Vietnam. If you’re looking for a relaxing afternoon or fun local experience, this is a must do in Hoi An 🇻🇳📍 Thanh H…",,https://www.tiktok.com/@notesfrommax/video/7611379054507248917
47,@mydearjunnie,🎥 Video,Da Nang,Transport,,"Vietnam Airport Experience in Danang, Vietnam 🇻🇳sharing out experience pagdating sa Danang and pagbalik sa Manila. we travelled last October guys so n…",,https://www.tiktok.com/@mydearjunnie/video/7597775330836843794
50,@fabtravel0,🎥 Video,Da Nang,Food & Drink,Cơm gà A Hải,,,https://www.tiktok.com/@fabtravel0/video/7618268654634896660
51,@sharexplore,🎥 Video,Ho Chi Minh,Transport,,"Cara naik grab di Tan Son Nhat Airport, Ho Chi Minh Vietnam ✨",,https://www.tiktok.com/@sharexplore/video/7617002823867239701
